time [s],channel_4_data.input_voltage,channel_4_data.output_voltage,
0.869,5794,12434,
0.87,5791,12448,
0.871,5791,12448,
0.872,5791,12448,
0.873,5791,12448,
0.874,5794,12448,
0.875,5794,12448,
0.876,5794,12448,
0.877,5794,12448,
0.878,5794,12448,
0.879,5794,12448,
0.88,5791,12448,
0.881,5791,12448,
0.882,5791,12448,
0.883,5791,12448,
0.884,5794,12448,
0.885,5794,12448,
0.886,5798,12448,
0.887,5798,12448,
0.888,5794,12463,
0.889,5794,12463,
0.89,5787,12448,
0.891,5787,12448,
0.892,5791,12434,
0.893,5791,12434,
0.894,5794,12448,
0.895,5794,12448,
0.896,5798,12448,
0.897,5798,12448,
0.898,5791,12434,
0.899017,5791,12434,
0.900499,5791,12434,
0.901206,5791,12434,
0.902,5791,12434,
0.903,5791,12434,
0.904,5794,12448,
0.905,5794,12448,
0.906,5798,12448,
0.907,5798,12448,
0.908,5794,12448,
0.909,5794,12448,
0.91,5791,12448,
0.911,5791,12448,
0.912,5791,12434,
0.913,5791,12434,
0.914,5798,12448,
0.915,5798,12448,
0.916,5794,12448,
0.917,5794,12448,
0.918,5798,12448,
0.919,5798,12448,
0.92,5774,12434,
0.921,5774,12434,
0.922,5770,12434,
0.923,5770,12434,
0.924,5777,12434,
0.925,5777,12434,
0.926,5781,12434,
0.927,5781,12434,
0.928,5777,12448,
0.929125,5777,12448,
0.930297,5774,12448,
0.931059,5774,12448,
0.932,5774,12434,
0.933,5774,12434,
0.934,5781,12448,
0.935,5781,12448,
0.936,5781,12448,
0.937,5781,12448,
0.938,5777,12434,
0.939,5777,12434,
0.94,5774,12448,
0.941,5774,12448,
0.942,5774,12448,
0.943,5774,12448,
0.944,5774,12434,
0.945,5774,12434,
0.946,5777,12434,
0.947,5777,12434,
0.948,5774,12434,
0.949,5774,12434,
0.95,5767,12434,
0.951,5767,12434,
0.952,5770,12448,
0.953,5770,12448,
0.954,5774,12448,
0.955,5774,12448,
0.956,5777,12448,
0.957,5777,12448,
0.958,5774,12448,
0.959,5774,12448,
0.96,5770,12434,
0.961,5770,12434,
0.962,5770,12448,
0.963,5770,12448,
0.964,5777,12434,
0.965,5777,12434,
0.966,5781,12434,
0.967,5781,12434,
0.968,5774,12434,
0.969,5774,12434,
0.97,5770,12448,
0.971,5770,12448,
0.972,5770,12448,
0.973,5770,12448,
0.974,5774,12448,
0.975,5774,12448,
0.976,5774,12448,
0.977,5774,12448,
0.978,5774,12448,
0.979,5774,12448,
0.98,5770,12434,
0.981,5770,12434,
0.982,5767,12434,
0.983,5767,12434,
0.984,5774,12434,
0.985,5774,12434,
0.986,5774,12448,
0.987,5774,12448,
0.988,5774,12448,
0.989,5774,12448,
0.99066,5770,12434,
0.99243,5770,12448,
0.993909,5774,12448,
0.994762,5774,12448,
0.995642,5774,12434,
0.996517,5774,12434,
0.997387,5774,12434,
0.99826,5774,12420,
0.999135,5774,12420,
0.999937,5767,12434,
1.00072,5767,12434,
1.00166,5770,12420,
1.00313,5770,12420,
1.00442,5774,12434,
1.00513,5774,12434,
1.00591,5774,12434,
1.00666,5774,12434,
1.00739,5774,12434,
1.00813,5767,12448,
1.009,5767,12448,
