time [s],channel_4_data.input_current_ma,channel_4_data.output_current_ma,
0.72,-77,-30,
0.721,-77,-30,
0.722,-77,-30,
0.723,-77,-30,
0.724,-77,-30,
0.725,-77,-30,
0.726165,-77,-33,
0.727,-77,-33,
0.728,-90,-33,
0.729,-90,-33,
0.73,-77,-33,
0.731,-77,-33,
0.732219,-83,-28,
0.733017,-83,-28,
0.734,-70,-30,
0.735,-70,-30,
0.736,-77,-28,
0.737,-77,-28,
0.738,-83,-33,
0.739,-83,-33,
0.74,-83,-33,
0.741,-83,-33,
0.742,-83,-33,
0.743266,-83,-33,
0.745021,-83,-33,
0.74579,-83,-30,
0.746633,-83,-30,
0.74738,-83,-30,
0.748082,-83,-28,
0.749,-83,-28,
0.75,-70,-33,
0.751,-70,-33,
0.752,-83,-30,
0.753,-83,-30,
0.754,-77,-33,
0.755,-77,-33,
0.756,-77,-33,
0.757,-77,-33,
0.758055,-77,-30,
0.759396,-77,-30,
0.760263,-77,-33,
0.761134,-77,-33,
0.762005,-70,-30,
0.763,-70,-30,
0.764,-83,-33,
0.765,-83,-33,
0.766,-77,-33,
0.767,-77,-33,
0.768,-83,-33,
0.769005,-83,-33,
0.77,-77,-33,
0.771,-77,-33,
0.772,-77,-36,
0.773,-77,-36,
0.774,-77,-30,
0.775,-77,-30,
0.776,-83,-30,
0.777,-83,-30,
0.778,-77,-33,
0.779,-77,-33,
0.78,-83,-33,
0.781,-83,-33,
0.782,-83,-30,
0.783,-83,-30,
0.784,-77,-33,
0.785,-77,-33,
0.786507,-70,-33,
0.787464,-70,-33,
0.788315,-70,-28,
0.789028,-70,-28,
0.79,-83,-36,
0.791,-83,-36,
0.792,-77,-36,
0.793,-77,-36,
0.794,-77,-33,
0.795,-77,-33,
0.796,-83,-30,
0.797,-83,-30,
0.798,-90,-36,
0.799,-90,-36,
0.8,-83,-33,
0.801,-83,-33,
0.802,-83,-33,
0.803,-83,-33,
0.804,83,-33,
0.805,83,-33,
0.806,77,-33,
0.807,77,-33,
0.808,77,-36,
0.809,77,-36,
0.81,70,-36,
0.811,70,-36,
0.812,70,-33,
0.813,70,-33,
0.814,77,-33,
0.815,77,-33,
0.816,70,-33,
0.817,70,-33,
0.818,70,-30,
0.819,70,-30,
0.82,70,-30,
0.821,70,-30,
0.822,51,-36,
0.823,51,-36,
0.824,32,-33,
0.825,32,-33,
0.826,-12,-33,
0.827,-12,-33,
0.828,-6,-30,
0.829,-6,-30,
0.83,-6,-33,
0.831,-6,-33,
0.832,-6,-33,
0.833,-6,-33,
0.834,-12,-36,
0.835,-12,-36,
0.836,-6,-33,
0.837,-6,-33,
0.838,0,-30,
0.839,0,-30,
0.84,-12,-36,
0.841,-12,-36,
0.842,-6,-30,
0.843,-6,-30,
0.844,-6,-30,
0.845,-6,-30,
0.846,0,-30,
0.847,0,-30,
0.848059,-6,-30,
0.849,-6,-30,
0.85,-6,-30,
0.851,-6,-30,
0.852,-12,-30,
0.853,-12,-30,
0.854,-25,-30,
0.855,-25,-30,
0.856,-64,-30,
0.857,-64,-30,
0.858,-70,-33,
0.859,-70,-33,
0.86,-83,-33,
0.861,-83,-33,
0.862,-64,-30,
0.863,-64,-30,
0.864,-83,-33,
0.865,-83,-33,
0.866,-83,-33,
0.867,-83,-33,
0.868,-83,-36,
0.869,-83,-36,
0.87,-77,-28,
0.871,-77,-28,
0.872,-77,-30,
0.873,-77,-30,
0.874,-77,-30,
0.875,-77,-30,
0.876,-77,-33,
0.877,-77,-33,
0.878,-77,-30,
0.879,-77,-30,
0.88,-83,-33,
0.881,-83,-33,
0.882,-83,-33,
0.883,-83,-33,
0.884,-83,-33,
0.885,-83,-33,
0.886,-83,-33,
0.887,-83,-33,
0.888,-83,-30,
0.889,-83,-30,
0.89,-83,-30,
0.891,-83,-30,
0.892,-77,-30,
0.893,-77,-30,
0.894,-77,-33,
0.895,-77,-33,
0.896,-83,-33,
0.897,-83,-33,
0.898,-83,-33,
0.899017,-83,-33,
0.900499,-77,-33,
0.901206,-77,-33,
0.902,-83,-33,
0.903,-83,-33,
0.904,-77,-30,
0.905,-77,-30,
0.906,-83,-33,
0.907,-83,-33,
0.908,-83,-33,
0.909,-83,-33,
0.91,-83,-33,
0.911,-83,-33,
0.912,-83,-33,
0.913,-83,-33,
0.914,-83,-30,
0.915,-83,-30,
0.916,-83,-33,
0.917,-83,-33,
0.918,-83,-36,
0.919,-83,-36,
0.92,-77,-28,
0.921,-77,-28,
0.922,-64,-33,
0.923,-64,-33,
0.924,-64,-33,
0.925,-64,-33,
0.926,-64,-30,
0.927,-64,-30,
0.928,-70,-33,
0.929125,-70,-33,
0.930297,-77,-33,
0.931059,-77,-33,
0.932,-64,-33,
0.933,-64,-33,
0.934,-64,-30,
0.935,-64,-30,
0.936,-64,-36,
0.937,-64,-36,
0.938,-77,-30,
0.939,-77,-30,
0.94,-64,-30,
0.941,-64,-30,
0.942,-64,-30,
0.943,-64,-30,
0.944,-64,-33,
0.945,-64,-33,
0.946,-70,-36,
0.947,-70,-36,
0.948,-64,-33,
0.949,-64,-33,
0.95,-64,-33,
0.951,-64,-33,
0.952,-64,-28,
0.953,-64,-28,
0.954,-70,-33,
0.955,-70,-33,
0.956,-70,-33,
0.957,-70,-33,
0.958,-64,-33,
0.959,-64,-33,
0.96,-58,-30,
0.961,-58,-30,
0.962,-64,-30,
0.963,-64,-30,
0.964,-58,-33,
0.965,-58,-33,
0.966,-70,-33,
0.967,-70,-33,
0.968,-64,-33,
0.969,-64,-33,
0.97,-58,-38,
0.971,-58,-38,
0.972,-58,-30,
0.973,-58,-30,
0.974,-64,-36,
0.975,-64,-36,
0.976,-64,-30,
0.977,-64,-30,
0.978,-64,-33,
0.979,-64,-33,
0.98,-64,-33,
0.981,-64,-33,
0.982,-58,-28,
0.983,-58,-28,
0.984,-58,-33,
0.985,-58,-33,
0.986,-58,-30,
0.987,-58,-30,
0.988,-58,-30,
0.989,-58,-30,
0.99066,-64,-30,
0.99243,-64,-30,
0.993909,-64,-33,
0.994762,-58,-33,
0.995642,-58,-33,
0.996517,-64,-30,
0.997387,-64,-30,
0.99826,-58,-30,
0.999135,-58,-30,
0.999937,-58,-33,
1.00072,-58,-33,
1.00166,-58,-33,
1.00313,-70,-30,
1.00442,-64,-33,
1.00513,-64,-33,
1.00591,-64,-33,
1.00666,-70,-33,
1.00739,-70,-33,
1.00813,-64,-33,
1.009,-64,-33,
1.01,-70,-30,
1.011,-70,-30,
1.012,-64,-30,
1.013,-64,-30,
1.014,-64,-30,
1.015,-64,-30,
1.016,-64,-30,
1.017,-64,-30,
1.018,-58,-30,
1.019,-58,-30,
1.02,-58,-30,
1.021,-58,-30,
1.022,-64,-30,
1.023,-64,-30,
1.024,-51,-28,
1.025,-51,-28,
1.02674,-64,-33,
1.02813,-51,-33,
1.0289,-51,-33,
1.02971,-51,-33,
1.03094,-64,-30,
1.0324,-51,-33,
1.03418,-64,-30,
1.03501,-64,-30,
1.03627,-64,-33,
1.03738,-64,-33,
1.03811,-58,-38,
1.03882,-58,-38,
1.03954,-58,-38,
1.04027,-64,-33,
1.04112,-64,-33,
1.04192,-64,-30,
1.04262,-58,-30,
1.04331,-58,-30,
1.044,-58,-30,
1.045,-58,-30,
1.046,-58,-30,
1.047,-58,-30,
1.048,-64,-33,
1.049,-64,-33,
1.05,-58,-30,
1.051,-58,-30,
1.052,-64,-33,
1.053,-64,-33,
1.054,-58,-30,
1.055,-58,-30,
1.056,-58,-33,
1.057,-58,-33,
1.058,-51,-33,
1.059,-51,-33,
1.06,-64,-33,
1.061,-64,-33,
1.062,-58,-33,
1.063,-58,-33,
1.064,-51,-28,
1.065,-51,-28,
1.066,-58,-33,
1.067,-58,-33,
1.068,-45,-30,
1.069,-45,-30,
1.07,-58,-28,
1.071,-58,-28,
1.072,-51,-30,
1.073,-51,-30,
1.074,-58,-33,
1.075,-58,-33,
1.076,-58,-30,
1.077,-58,-30,
1.078,-51,-28,
1.079,-51,-28,
1.08,-45,-30,
1.081,-45,-30,
1.082,-51,-28,
1.083,-51,-28,
1.084,-32,-28,
1.085,-32,-28,
1.086,-45,-30,
1.087,-45,-30,
1.088,-51,-28,
1.089,-51,-28,
1.09,-51,-28,
1.091,-51,-28,
1.092,-45,-28,
1.093,-45,-28,
1.094,-51,-28,
1.095,-51,-28,
1.096,-45,-28,
1.09705,-45,-28,
1.098,-45,-28,
1.099,-45,-28,
1.1,-45,-28,
1.101,-45,-28,
1.102,-38,-28,
1.10337,-38,-28,
1.10494,-45,-25,
1.10571,-45,-25,
1.10661,-45,-25,
1.10731,-45,-25,
1.10801,-38,-23,
1.109,-38,-23,
1.11,-58,-28,
1.111,-58,-28,
1.112,-38,-23,
1.113,-38,-23,
1.114,-32,-25,
1.115,-32,-25,
1.116,-32,-23,
1.117,-32,-23,
1.118,-32,-25,
1.119,-32,-25,
1.12,-32,-25,
1.121,-32,-25,
1.122,-38,-25,
1.123,-38,-25,
1.124,-38,-25,
1.125,-38,-25,
1.126,-25,-23,
1.127,-25,-23,
1.128,-25,-20,
1.129,-25,-20,
1.13,-25,-28,
1.131,-25,-28,
1.132,-19,-18,
1.133,-19,-18,
1.134,-25,-23,
1.135,-25,-23,
1.136,-19,-20,
1.137,-19,-20,
1.138,-19,-18,
1.139,-19,-18,
1.14,-6,-18,
1.141,-6,-18,
1.14255,-12,-20,
1.14326,-12,-20,
1.144,-12,-15,
1.145,-12,-15,
1.146,-12,-20,
1.147,-12,-20,
1.148,-19,-20,
1.149,-19,-20,
1.15,-6,-20,
1.151,-6,-20,
1.152,-6,-18,
1.153,-6,-18,
1.154,-12,-20,
1.155,-12,-20,
1.156,-12,-18,
1.157,-12,-18,
1.158,-6,-15,
1.15951,-6,-15,
1.16057,0,-15,
1.16128,0,-15,
1.162,-6,-15,
1.163,-6,-15,
1.164,0,-15,
